Vernaculaire,Scientifique,Coches
Canard colvert,Anas platyrhynchos,1378
Héron cendré,Ardea cinerea,1374
Buse variable,Buteo buteo,1360
Faucon crécerelle,Falco tinnunculus,1349
Mésange charbonnière,Parus major,1347
Moineau domestique,Passer domesticus,1345
Merle noir,Turdus merula,1344
Cygne tuberculé,Cygnus olor (féral en Fr),1342
Pigeon ramier,Columba palumbus,1342
Grand Cormoran,Phalacrocorax carbo,1341
Rougegorge familier,Erithacus rubecula,1340
Mésange bleue,Parus caeruleus,1339
Pie bavarde,Pica pica,1331
Étourneau sansonnet,Sturnus vulgaris,1331
Tourterelle turque,Streptopelia decaocto,1327
Bergeronnette grise,Motacilla alba,1327
Foulque macroule,Fulica atra,1325
Pinson des arbres,Fringilla coelebs,1324
Corneille noire,Corvus corone,1319
Aigrette garzette,Egretta garzetta,1319
Mouette rieuse,Chroicocephalus ridibundus,1316
Pic vert,Picus viridis,1312
Chardonneret élégant,Carduelis carduelis,1312
Grèbe huppé,Podiceps cristatus,1311
Rougequeue noir,Phoenicurus ochruros,1307
Cigogne blanche,Ciconia ciconia,1302
Martin-pêcheur d'Europe,Alcedo atthis,1301
Hirondelle rustique,Hirundo rustica,1299
Grande Aigrette,Ardea alba,1298
Pic épeiche,Dendrocopos major,1294
Mésange à longue queue,Aegithalos caudatus,1287
Gallinule poule-d'eau,Gallinula chloropus,1284
Geai des chênes,Garrulus glandarius,1284
Faisan de Colchide,Phasianus colchicus (féral),1284
Milan noir,Milvus migrans,1275
Hirondelle de fenêtre,Delichon urbicum,1274
Martinet noir,Apus apus,1269
Bergeronnette des ruisseaux,Motacilla cinerea,1269
Sittelle torchepot,Sitta europaea,1268
Fauvette à tête noire,Sylvia atricapilla,1266
Choucas des tours,Coloeus monedula,1266
Héron garde-boeufs,Bubulcus ibis,1259
Verdier d'Europe,Chloris chloris,1258
Grive musicienne,Turdus philomelos,1257
Troglodyte mignon,Troglodytes troglodytes,1255
Pouillot véloce,Phylloscopus collybita,1255
Vanneau huppé,Vanellus vanellus,1253
Tadorne de Belon,Tadorna tadorna,1237
Sarcelle d'hiver,Anas crecca,1236
Tarier pâtre,Saxicola rubicola,1233
Milan royal,Milvus milvus,1233
Grèbe castagneux,Tachybaptus ruficollis,1231
Épervier d'Europe,Accipiter nisus,1223
Canard souchet,Spatula clypeata,1220
Grimpereau des jardins,Certhia brachydactyla,1211
Accenteur mouchet,Prunella modularis,1208
Pigeon biset domestique,Columba livia,1207
Busard des roseaux,Circus aeruginosus,1198
Corbeau freux,Corvus frugilegus,1194
Huppe fasciée,Upupa epops,1192
Roitelet à triple bandeau,Regulus ignicapilla,1186
Coucou gris,Cuculus canorus,1183
Alouette des champs,Alauda arvensis,1182
Fuligule milouin,Aythya ferina,1181
Mésange huppée,Parus cristatus,1181
Linotte mélodieuse,Linaria cannabina,1180
Fuligule morillon,Aythya fuligula,1178
Serin cini,Serinus serinus,1174
Goéland leucophée,Larus michahellis,1171
Avocette élégante,Recurvirostra avosetta,1169
Échasse blanche,Himantopus himantopus,1168
Oie cendrée,Anser anser,1166
Mésange nonnette,Parus palustris,1164
Bergeronnette printanière,Motacilla flava,1160
Sterne pierregarin,Sterna hirundo,1159
Roitelet huppé,Regulus regulus,1158
Courlis cendré,Numenius arquata,1153
Grive draine,Turdus viscivorus,1152
Traquet motteux,Oenanthe oenanthe,1152
Mésange noire,Parus ater,1151
Tourterelle des bois,Streptopelia turtur,1150
Grand Corbeau,Corvus corax,1148
Hirondelle de rivage,Riparia riparia,1146
Goéland argenté,Larus argentatus,1145
Chevalier gambette,Tringa totanus,1144
Chevalier guignette,Actitis hypoleucos,1144
Canard chipeau,Mareca strepera,1138
Bécassine des marais,Gallinago gallinago,1138
Spatule blanche,Platalea leucorodia,1138
Busard Saint-Martin,Circus cyaneus,1135
Chevalier culblanc,Tringa ochropus,1133
Vautour fauve,Gyps fulvus,1133
Huîtrier pie,Haematopus ostralegus,1132
Pie-grièche écorcheur,Lanius collurio,1131
Faucon pèlerin,Falco peregrinus,1130
Rougequeue à front blanc,Phoenicurus phoenicurus,1128
Grand Gravelot,Charadrius hiaticula,1127
Canard pilet,Anas acuta,1125
Bruant zizi,Emberiza cirlus,1125
Perdrix rouge,Alectoris rufa,1125
Bruant jaune,Emberiza citrinella,1124
Pipit farlouse,Anthus pratensis,1121
Tarin des aulnes,Spinus spinus,1120
Bruant des roseaux,Emberiza schoeniclus,1116
Héron pourpré,Ardea purpurea,1113
Bouvreuil pivoine,Pyrrhula pyrrhula,1109
Canard siffleur,Mareca penelope,1108
Petit Gravelot,Charadrius dubius,1107
Mouette mélanocéphale,Ichthyaetus melanocephalus,1099
Flamant rose,Phoenicopterus roseus,1099
Bondrée apivore,Pernis apivorus,1097
Goéland marin,Larus marinus,1095
Guêpier d'Europe,Merops apiaster,1095
Bihoreau gris,Nycticorax nycticorax,1091
Bécasseau variable,Calidris alpina,1091
Rossignol philomèle,Luscinia megarhynchos,1090
Pic noir,Dryocopus martius,1089
Circaète Jean-le-Blanc,Circaetus gallicus,1087
Chouette hulotte,Strix aluco,1087
Fou de Bassan,Morus bassanus,1082
Gobemouche gris,Muscicapa striata,1080
Faucon hobereau,Falco subbuteo,1078
Loriot d'Europe,Oriolus oriolus,1077
Tournepierre à collier,Arenaria interpres,1073
Tarier des prés,Saxicola rubetra,1073
Goéland brun,Larus fuscus,1071
Cincle plongeur,Cinclus cinclus,1070
Râle d'eau,Rallus aquaticus,1068
Bouscarle de Cetti,Cettia cetti,1066
Rousserolle effarvatte,Acrocephalus scirpaceus,1063
Fauvette grisette,Curruca communis,1063
Sterne caugek,Thalasseus sandvicensis,1059
Pinson du Nord,Fringilla montifringilla,1057
Nette rousse,Netta rufina,1057
Grèbe à cou noir,Podiceps nigricollis,1054
Grive litorne,Turdus pilaris,1049
Effraie des clochers,Tyto alba,1048
Chevalier aboyeur,Tringa nebularia,1047
Hypolaïs polyglotte,Hippolais polyglotta,1047
Grive mauvis,Turdus iliacus,1047
Bernache du Canada,Branta canadensis (féral en Fr),1046
Hirondelle de rochers,Ptyonoprogne rupestris,1043
Perdrix grise,Perdix perdix,1040
Pouillot fitis,Phylloscopus trochilus,1037
Gobemouche noir,Ficedula hypoleuca,1034
Cisticole des joncs,Cisticola juncidis,1034
Grosbec casse-noyaux,Coccothraustes coccothraustes,1034
Sarcelle d'été,Spatula querquedula,1034
Pic épeichette,Dryobates minor,1033
Chevêche d'Athéna,Athene noctua,1031
Bruant proyer,Emberiza calandra,1026
Bécasseau sanderling,Calidris alba,1024
Moineau friquet,Passer montanus,1024
Barge à queue noire,Limosa limosa,1019
Pipit des arbres,Anthus trivialis,1012
Pluvier argenté,Pluvialis squatarola,1008
Busard cendré,Circus pygargus,1005
Gravelot à collier interrompu,Charadrius alexandrinus,1001
Goéland cendré,Larus canus,999
Fauvette des jardins,Sylvia borin,997
Pigeon colombin,Columba oenas,996
Cormoran huppé,Phalacrocorax aristotelis,995
Cigogne noire,Ciconia nigra,985
Perruche à collier,Psittacula krameri (féral),984
Alouette lulu,Lullula arborea,983
Pluvier doré,Pluvialis apricaria,982
Courlis corlieu,Numenius phaeopus,979
Ibis falcinelle,Plegadis falcinellus,978
Aigle royal,Aquila chrysaetos,978
Chocard à bec jaune,Pyrrhocorax graculus,975
Pipit spioncelle,Anthus spinoletta,972
Chevalier arlequin,Tringa erythropus,971
Chevalier sylvain,Tringa glareola,969
Harle bièvre,Mergus merganser,962
Bernache cravant,Branta bernicla,957
Oedicnème criard,Burhinus oedicnemus,955
Hibou moyen-duc,Asio otus,952
Combattant varié,Calidris pugnax,943
Martinet à ventre blanc,Tachymarptis melba,943
Crave à bec rouge,Pyrrhocorax pyrrhocorax,937
Phragmite des joncs,Acrocephalus schoenobaenus,935
Barge rousse,Limosa lapponica,932
Gorgebleue à miroir,Luscinia svecica,930
Sterne naine,Sternula albifrons,926
Bec-croisé des sapins,Loxia curvirostra,917
Bécasseau minute,Calidris minuta,900
Autour des palombes,Accipiter gentilis,898
Cochevis huppé,Galerida cristata,897
Engoulevent d'Europe,Caprimulgus europaeus,897
Fauvette mélanocéphale,Curruca melanocephala,893
Guifette moustac,Chlidonias hybrida,891
Pic mar,Dendrocopos medius,891
Garrot à oeil d'or,Bucephala clangula,890
Fauvette pitchou,Curruca undata,889
Guifette noire,Chlidonias niger,888
Pipit maritime,Anthus petrosus,885
Caille des blés,Coturnix coturnix,882
Ouette d'Egypte,Alopochen aegyptiaca (féral en Fr),871
Torcol fourmilier,Jynx torquilla,871
Tichodrome échelette,Tichodroma muraria,871
Merle à plastron,Turdus torquatus,868
Grimpereau des bois,Certhia familiaris,866
Rollier d'Europe,Coracias garrulus,866
Harle huppé,Mergus serrator,862
Bécasseau maubèche,Calidris canutus,852
Faucon émerillon,Falco columbarius,842
Hibou des marais,Asio flammeus,836
Crabier chevelu,Ardeola ralloides,829
Élanion blanc,Elanus caeruleus,823
Bécasseau cocorli,Calidris ferruginea,823
Mouette tridactyle,Rissa tridactyla,821
Pingouin torda,Alca torda,818
Bécasse des bois,Scolopax rusticola,816
Rousserolle turdoïde,Acrocephalus arundinaceus,815
Aigle botté,Hieraaetus pennata,812
Accenteur alpin,Prunella collaris,807
Macreuse noire,Melanitta nigra,807
Pouillot de Bonelli,Phylloscopus bonelli,806
Pie-grièche à tête rousse,Lanius senator,802
Guillemot de Troïl,Uria aalge,797
Pipit rousseline,Anthus campestris,796
Mouette pygmée,Hydrocoloeus minutus,793
Fuligule milouinan,Aythya marila,791
Blongios nain,Ixobrychus minutus,791
Plongeon imbrin,Gavia immer,787
Pouillot siffleur,Phylloscopus sibilatrix,784
Outarde canepetière,Tetrax tetrax,780
Grand-duc d'Europe,Bubo bubo,778
Ibis sacré,Threskiornis aethiopicus (féral),778
Butor étoilé,Botaurus stellaris,774
Mésange boréale,Parus montanus,773
Oie rieuse,Anser albifrons,757
Fulmar boréal,Fulmarus glacialis,753
Cassenoix moucheté,Nucifraga caryocatactes,752
Locustelle tachetée,Locustella naevia,748
Goéland railleur,Chroicocephalus genei,748
Bruant fou,Emberiza cia,747
Fuligule nyroca,Aythya nyroca,745
Panure à moustaches,Panurus biarmicus,745
Petit-duc scops,Otus scops,743
Macreuse brune,Melanitta fusca,741
Pie-grièche grise,Lanius excubitor,741
Plongeon catmarin,Gavia stellata,740
Sterne caspienne,Hydroprogne caspia,739
Cygne chanteur,Cygnus cygnus,739
Eider à duvet,Somateria mollissima,726
Fauvette babillarde,Curruca curruca,726
Bécasseau violet,Calidris maritima,725
Vautour moine,Aegypius monachus,723
Grèbe esclavon,Podiceps auritus,718
Rémiz penduline,Remiz pendulinus,707
Sterne hansel,Gelochelidon nilotica,704
Venturon montagnard,Carduelis citrinella,696
Faucon crécerellette,Falco naumanni,694
Cygne noir,Cygnus atratus (féral en Fr),692
Monticole bleu,Monticola solitarius,688
Cygne de Bewick,Cygnus columbianus,688
Puffin des Baléares,Puffinus mauretanicus,686
Plongeon arctique,Gavia arctica,685
Talève sultane,Porphyrio porphyrio,684
Harle piette,Mergellus albellus,684
Fauvette passerinette,Curruca iberiae,679
Corneille mantelée,Corvus cornix,677
Grèbe jougris,Podiceps grisegena,671
Moineau soulcie,Petronia petronia,669
Bécassine sourde,Lymnocryptes minimus,667
Bruant des neiges,Plectrophenax nivalis,666
Bernache nonnette,Branta leucopsis,663
Grand Labbe,Stercorarius skua,660
Marouette ponctuée,Porzana porzana,654
Labbe parasite,Stercorarius parasiticus,653
Rousserolle verderolle,Acrocephalus palustris,653
Bécasseau de Temminck,Calidris temminckii,651
Faucon kobez,Falco vespertinus,649
Monticole de roche,Monticola saxatilis,649
Canard mandarin,Aix galericulata (féral),648
Bruant ortolan,Emberiza hortulana,647
Coucou geai,Clamator glandarius,641
Pie-grièche méridionale,Lanius meridionalis,633
Harelde boréale,Clangula hyemalis,631
Puffin des Anglais,Puffinus puffinus,625
Locustelle luscinioïde,Locustella luscinioides,620
Macareux moine,Fratercula arctica,616
Tadorne casarca,Tadorna ferruginea (féral en Fr),614
Niverolle alpine,Montifringilla nivalis,599
Martinet pâle,Apus pallidus,597
Pouillot à grands sourcils,Phylloscopus inornatus,593
Sizerin cabaret,Acanthis cabaret,589
Goéland pontique,Larus cachinnans,586
Alouette calandrelle,Calandrella brachydactyla,582
Glaréole à collier,Glareola pratincola,578
Hirondelle rousseline,Cecropis daurica,578
Pluvier guignard,Charadrius morinellus,572
Phalarope à bec large,Phalaropus fulicarius,559
Puffin fuligineux,Ardenna griseus,549
Guifette leucoptère,Chlidonias leucopterus,547
Chevalier stagnatile,Tringa stagnatilis,546
Fauvette à lunettes,Curruca conspicillata,540
Étourneau unicolore,Sturnus unicolor,540
Océanite tempête,Hydrobates pelagicus,532
Phalarope à bec étroit,Phalaropus lobatus,527
Puffin yelkouan,Puffinus yelkouan,524
Pipit de Richard,Anthus richardi,518
Traquet oreillard,Oenanthe hispanica,510
Alouette calandre,Melanocorypha calandra,503
Oie (des moissons) de la toundra,Anser serrirostris,502
Puffin de Scopoli,Calonectris diomedea,500
Labbe pomarin,Stercorarius pomarinus,486
Busard pâle,Circus macrourus,485
Ganga cata,Pterocles alchata,475
Fuligule à bec cerclé,Aythya collaris,469
Fauvette orphée,Curruca hortensis,469
Lusciniole à moustaches,Acrocephalus melanopogon,468
Mouette de Sabine,Xema sabini,462
Etourneau roselin,Pastor roseus,461
Bécasseau tacheté,Calidris melanotos,458
Pic cendré,Picus canus,457
Bruant lapon,Calcarius lapponicus,457
Érismature rousse,Oxyura jamaicensis (féral en Fr),451
Sterne arctique,Sterna paradisaea,446
Faucon d'Eléonore,Falco eleonorae,424
Gobemouche nain,Ficedula parva,424
Goéland d'Audouin,Ichthyaetus audouinii,424
Lagopède alpin,Lagopus muta,423
Buse pattue,Buteo lagopus,418
Oie à bec court,Anser brachyrhynchus,417
Chevêchette d'Europe,Glaucidium passerinum,415
Goéland à ailes blanches,Larus glaucoides,411
Moineau cisalpin,Passer italiae,408
Tétras lyre,Lyrurus tetrix,408
Hypolaïs ictérine,Hippolais icterina,404
Goéland bourgmestre,Larus hyperboreus,397
Goéland à bec cerclé,Larus delawarensis,390
Alouette haussecol,Eremophila alpestris,385
Faisan vénéré,Syrmaticus reevesii (féral),383
Râle des genêts,Crex crex,382
Phragmite aquatique,Acrocephalus paludicola,377
Marouette poussin,Porzana parva,373
Cochevis de Thékla,Galerida theklae,365
Aigle criard,Clanga clanga,364
Bruant nain,Emberiza pusilla,352
Gélinotte des bois,Tetrastes bonasia,351
Pipit à gorge rousse,Anthus cervinus,350
Fuligule à tête noire,Aythya affinis,346
Sterne de Dougall,Sterna dougallii,342
Pouillot brun,Phylloscopus fuscatus,342
Puffin majeur,Ardenna gravis,337
Puffin cendré,Calonectris borealis,334
Vanneau sociable,Vanellus gregarius,333
Gobemouche à collier,Ficedula albicollis,327
Venturon corse,Carduelis corsicanus,323
Sterne -de type- élégante,Thalasseus elegans,320
Chevalier à pattes jaunes,Tringa flavipes,318
Bécasseau falcinelle,Calidris falcinellus,315
Jaseur boréal,Bombycilla garrulus,314
Chouette de Tengmalm,Aegolius  funereus,313
Grand Tétras,Tetrao urogallus,313
Pluvier bronzé,Pluvialis dominica,301
Grèbe à bec bigarré,Podilymbus podiceps,299
Bécasseau rousset,Calidris subruficollis,299
Pouillot ibérique,Phylloscopus ibericus,293
Océanite culblanc,Oceanodroma leucorhoa,293
Bergeronnette citrine,Motacilla citreola,293
Pouillot de Pallas,Phylloscopus proregulus,291
Chevalier bargette,Xenus cinereus,286
Sittelle corse,Sitta whiteheadi,286
Fauvette de Moltoni,Curruca subalpina,284
Perdrix bartavelle,Alectoris graeca,284
Pouillot de Hume,Phylloscopus humei,283
Fauvette sarde,Curruca sarda,282
Roselin cramoisi,Carpodacus erythrinus,270
Cormoran pygmée,Microcarbo pygmaeus,269
Léiothrix jaune,Leiothrix lutea (féral),262
Bécasseau de Bonaparte,Calidris fuscicollis,259
Labbe à longue queue,Stercorarius longicaudus,257
Chevalier grivelé,Actitis macularius,246
Pic tridactyle,Picoides tridactylus,244
Guillemot à miroir,Cepphus grylle,238
Pie-grièche isabelle,Lanius isabellinus,237
Fauvette épervière,Curruca nisoria,235
Pic à dos blanc,Dendrocopos leucotos,231
Sarcelle à ailes vertes,Anas carolinensis,231
Linotte à bec jaune,Linaria flavirostris,227
Buse féroce,Buteo rufinus,226
Pic de Sharpe,Picus sharpei,226
Traquet isabelle,Oenanthe isabellina,222
Sizerin flammé boréal,Acanthis flammea,219
Capucin bec-de-plomb,Euodice malabarica (féral),216
Traquet du désert,Oenanthe deserti,216
Gobemouche tyrrhénien,Muscicapa tyrrhenica,216
Pluvier fauve,Pluvialis fulva,214
Bruant mélanocéphale,Emberiza melanocephala,213
Pipit à dos olive,Anthus hodgsoni,211
Eider à tête grise,Somateria spectabilis,202
Aigle impérial,Aquila heliaca,196
Marouette de Baillon,Porzana pusilla,194
Flamant nain,Phoenicopterus minor,192
Mergule nain,Alle alle,192
Canard à front blanc,Mareca americana,192
Macreuse à front blanc,Melanitta perspicillata,192
Bernache à cou roux,Branta ruficollis,187
Pélican blanc,Pelecanus onocrotalus,185
Bruant à gorge blanche,Zonotrichia albicollis,184
Pipit de Godlewski,Anthus godlewskii,178
Pouillot de Schwarz,Phylloscopus schwarzi,176
Robin à flancs roux,Tarsiger cyanurus,174
Tarier de Sibérie,Saxicola maurus,171
Bartramie des champs,Bartramia longicauda,169
Harfang des neiges,Bubo scandiacus,168
Bergeronnette orientale,Motacilla tschutschensis,167
Bécasseau de Baird,Calidris bairdii,165
Mouette de Bonaparte,Chroicocephalus philadelphia,164
Plongeon à bec blanc,Gavia adamsii,157
Rousserolle des buissons,Acrocephalus dumetorum,152
Bécassin à long bec,Limnodromus scolopaceus,150
Aigrette des récifs,Egretta gularis,149
Courvite isabelle,Cursorius cursor,145
Martinet cafre,Apus caffer,140
Mouette de Ross,Rhodostethia rosea,139
Viréo à oeil rouge,Vireo olivaceus,139
Bruant à calotte blanche,Emberiza leucocephalos,138
Traquet pie,Oenanthe pleschanka,136
Pie-grièche brune,Lanius cristatus,135
Grive dorée,Zoothera dauma,134
Bécasseau à queue pointue,Calidris acuminata,132
Bécasseau semipalmé,Calidris pusilla,131
Bécassine double,Gallinago media,131
Phalarope de Wilson,Phalaropus tricolor,129
Gravelot de Leschenault,Charadrius leschenaultii,127
Mouette de Franklin,Leucophaeus pipixcan,127
Sterne de Forster,Sterna forsteri,127
Bruant rustique,Emberiza rustica,118
Sarcelle à ailes bleues,Spatula discors,116
Bécasseau à échasses,Calidris himantopus,116
Océanite de Wilson,Oceanites oceanicus,114
Bec-croisé perroquet,Loxia pytyopsittacus,113
Roselin githagine,Bucanetes githagineus,110
Glaréole à ailes noires,Glareola nordmanni,103
Sterne voyageuse,Thalasseus bengalensis,102
Vanneau à queue blanche,Vanellus leucurus,96
Hypolaïs bottée,Induna caligata,95
Chevalier solitaire,Tringa solitaria,93
Érismature à tête blanche,Oxyura leucocephala,93
Sarcelle marbrée,Marmaronetta angustirostris,92
Moineau espagnol,Passer hispaniolensis,92
Pluvier asiatique,Charadrius asiaticus,92
Mouette atricille,Leucophaeus atricilla,91
Fauvette des Balkans,Curruca cantillans,91
Grivette à dos olive,Catharus ustulatus,86
Bécasseau minuscule,Calidris minutilla,86
Fauvette de Rüppell,Curruca ruppeli,84
Rousserolle isabelle,Acrocephalus agricola,84
Goéland d'Amérique,Larus smithsonianus,79
Bécasseau à longs doigts,Calidris subminuta,79
Pouillot à pattes sombres,Phylloscopus plumbeitarsus,76
Mouette blanche,Pagophila eburnea,76
Sterne bridée,Onychoprion anaethetus,76
Fou brun,Sula leucogaster,76
Outarde barbue,Otis tarda,75
Locustelle fluviatile,Locustella fluviatilis,75
Ammomane élégante,Ammomanes cinctura,73
Pipit farlousane,Anthus rubescens,70
Fauvette naine,Curruca nana,68
Colin de Californie,Callipepla californica (féral),68
Héron vert,Butorides virescens,62
Oie naine,Anser erythropus,60
Bécasseau d'Alaska,Calidris mauri,59
Traquet noir et blanc,Oenanthe melanoleuca,58
Bécasseau à cou roux,Calidris ruficollis,57
Pouillot boréal,Phylloscopus borealis,56
Pouillot oriental,Phylloscopus orientalis,55
Alouette pispolette,Alaudala rufescens,54
Marouette de Caroline,Porzana carolina,53
Sterne royale (américaine),Thalasseus maxima,45
Traquet à tête blanche,Oenanthe leucopyga,44
Paruline noir et blanc,Mniotilta varia,43
Pipit de la Petchora,Anthus gustavi,43
Bécassin à bec court,Limnodromus griseus,43
Paruline couronnée,Seiurus aurocapilla,42
Hirondelle à front blanc,Petrochelidon pyrrhonota,41
Paruline rayée,Setophaga striata,40
Pie-grièche masquée,Lanius nubicus,38
Grivette à joues grises,Catharus minimus,38
Sterne (royale) africaine,Thalasseus albididorsalis,37
Bruant roux,Emberiza rutila,37
Gobemouche à demi-collier,Ficedula semitorquata,36
Fou à pieds rouges,Sula sula,36
Bec-croisé bifascié,Loxia leucoptera,36
Puffin de Macaronésie,Puffinus baroli,35
Pouillot verdâtre,Phylloscopus trochiloides,34
Tourterelle orientale,Streptopelia orientalis,26
Garrot albéole,Bucephala albeola,26
Cardinal à poitrine rose,Pheucticus ludovicianus,24
Faucon gerfaut,Falco rusticolus,21
Traquet rieur,Oenanthe leucura,20
Goéland dominicain,Larus dominicanus,20
Macreuse à bec jaune,Melanitta americana,20
Faucon sacre,Falco cherrug,20
Sizerin blanchâtre,Acanthis hornemanni,19
Martinet des maisons,Apus affinis,18
Bruant masqué,Emberiza spodocephala,17
Gravelot mongol,Charadrius mongolus,16
Hypolaïs pâle,Iduna pallida,16
Engoulevent à collier roux,Caprimulgus ruficollis,16
Paruline à flancs marron,Setophaga pensylvanica,15
Oie (des moissons) de la taïga,Anser fabalis,13
Coulicou à bec jaune,Coccyzus americanus,13
Albatros à sourcils noirs,Thalassarche melanophris,13
Traquet kurde,Oenanthe xanthoprymna,12
Vautour de Rüppell,Gyps rueppellii,11
Agrobate roux,Cercotrichas galactotes,9
Paruline à collier,Setophaga americana,9
Gravelot pâtre,Charadrius pecuarius,8
Puffin à bec grêle,Puffinus tenuirostris,8
Tangara écarlate,Piranga olivacea,8
Aigle des steppes,Aquila nipalensis,8
Glaréole orientale,Glareola maldivarum,8
Canard noir,Anas rubripes,7
Rossignol progné,Luscinia luscinia,6
Grive obscure,Turdus obscurus,6
Pétrel gongon,Pterodroma feae,6
Engoulevent d'Amérique,Chordeiles minor,5
Grive à gorge noire,Turdus atrogularis,5
Hypolaïs obscure,Iduna opaca,5
Chevalier semipalmé,Tringa semipalmata,5
"Océanite ""de type"" Castro",Oceanodroma castro/jabejabe/monteroi,5
Aigle ibérique,Aquila adalberti,4
Cormoran à aigrettes,Phalacrocorax auritus,4
Grue demoiselle,Grus virgo,4
Locustelle lancéolée,Locustella lanceolata,4
Pie-grièche du Turkestan,Lanius phoenicuroides,4
Grive de Sibérie,Geokichla sibirica,3
Goglu des prés,Dolichonyx oryzivorus,3
Accenteur à gorge noire,Prunella atrogularis,3
Sterne fuligineuse,Onychoprion fuscatus,3
Bruant auréole,Emberiza aureola,3
Hypolaïs rama,Iduna rama,3
Guêpier de Perse,Merops persicus,3
Alouette monticole,Melanocorypha bimaculata,2
Fauvette de l'Atlas,Curruca deserticola,2
Paruline des ruisseaux,Parkesia noveboracensis,2
Goéland ichthyaète,Ichthyaetus ichthyaetus,1
Pélican frisé,Pelecanus crispus,1
Courlis hudsonien,Numenius hudsonicus,1
Bruant à tête rousse,Emberiza bruniceps,1
Grand Héron,Ardea herodias,1
Paruline à gorge orangée,Setophaga fusca,1
Pouillot de Temminck,Phylloscopus coronatus,1
Gravelot semipalmé,Charadrius semipalmatus,1
Talève d'Allen,Porphyrio alleni,1
Coulicou à bec noir,Coccyzus erythrophthalmus,1
Eider de Steller,Polysticta stelleri,1
